종목코드,종목명,종가,대비,등락률,EPS,PER,선행EPS,선행PER,BPS,PBR,주당배당금,배당수익률
046440,KG모빌리언스,5790,-100,-1.70,785,7.38,-,-,7727,0.75,220,3.80
016380,KG스틸,8120,-80,-0.98,1908,4.26,-,-,11498,0.71,100,1.23
035600,KG이니시스,12800,-300,-2.29,1808,7.08,2697,4.75,13469,0.95,400,3.13
001390,KG케미칼,23650,-150,-0.63,5749,4.11,-,-,34343,0.69,500,2.11
226360,KH건설,371,-1,-0.27,-,-,-,-,1363,0.27,0,0.00
111870,KH전자,267,0,0.00,-,-,-,-,972,0.27,0,0.00
033180,KH필룩스,970,-20,-2.02,-,-,-,-,3088,0.31,0,0.00
060720,KH바텍,12100,0,0.00,1473,8.21,1878,6.44,9612,1.26,300,2.48
001940,KISCO홀딩스,12900,-50,-0.39,8106,1.59,-,-,68463,0.19,400,3.10
058400,KNN,886,-3,-0.34,69,12.84,-,-,1552,0.57,20,2.26
114450,KPX생명과학,3995,-45,-1.11,-,-,-,-,3753,1.06,0,0.00
025000,KPX케미칼,47900,150,0.31,10123,4.73,-,-,119120,0.40,2750,5.74
092230,KPX홀딩스,52500,-600,-1.13,11573,4.54,-,-,208904,0.25,3000,5.71
000040,KR모터스,564,5,0.89,-,-,-,-,385,1.46,0,0.00
044450,KSS해운,9070,20,0.22,2497,3.63,-,-,15261,0.59,350,3.86
030200,KT,35800,-300,-0.83,5759,6.22,5074,7.06,63512,0.56,1910,5.34
033780,KT&G,93900,-600,-0.63,7898,11.89,7922,11.85,76336,1.23,4800,5.11
058850,KTcs,2180,0,0.00,454,4.80,-,-,4374,0.50,100,4.59
058860,KTis,2475,0,0.00,767,3.23,-,-,5909,0.42,100,4.04
060370,KT서브마린,5440,10,0.18,-,-,-,-,4848,1.12,30,0.55
122450,KX,6310,-20,-0.32,896,7.04,-,-,5636,1.12,0,0.00
052900,KX하이텍,1330,15,1.14,102,13.04,-,-,1998,0.67,0,0.00
093050,LF,15000,0,0.00,4169,3.60,-,-,46904,0.32,600,4.00
003550,LG,80800,-300,-0.37,15504,5.21,13913,5.81,132574,0.61,2800,3.47
034220,LG디스플레이,12900,-300,-2.27,3315,3.89,-,-,36664,0.35,650,5.04
051900,LG생활건강,522000,-13000,-2.43,50395,10.36,32124,16.25,321556,1.62,12000,2.30
051905,LG생활건강우,287500,-1000,-0.35,-,-,-,-,-,-,12050,4.19
373220,LG에너지솔루션,589000,20000,3.51,3963,148.62,7108,82.86,39831,14.79,0,0.00
003555,LG우,60500,-400,-0.66,-,-,-,-,-,-,2850,4.71
032640,LG유플러스,11250,-100,-0.88,1642,6.85,1690,6.66,17852,0.63,550,4.89
011070,LG이노텍,283000,-5000,-1.74,37537,7.54,54851,5.16,140050,2.02,3000,1.06
066570,LG전자,82800,-900,-1.08,5725,14.46,10754,7.70,95691,0.87,850,1.03
066575,LG전자우,39750,-50,-0.13,-,-,-,-,-,-,900,2.26
037560,LG헬로비전,4695,85,1.84,348,13.49,532,8.82,8424,0.56,110,2.34
051910,LG화학,683000,11000,1.64,47108,14.50,36616,18.65,278455,2.45,12000,1.76
051915,LG화학우,315000,-500,-0.16,-,-,-,-,-,-,12050,3.83
079550,LIG넥스원,103500,500,0.49,4829,21.43,8134,12.72,35023,2.96,1200,1.16
006260,LS,68700,1000,1.48,10004,6.87,12464,5.51,127727,0.54,1450,2.11
010120,LSELECTRIC,54100,500,0.93,2890,18.72,5177,10.45,50525,1.07,1000,1.85
000680,LS네트웍스,2615,-5,-0.19,818,3.20,-,-,7533,0.35,0,0.00
229640,LS전선아시아,7680,-10,-0.13,486,15.80,520,14.77,5107,1.50,240,3.13
108320,LX세미콘,82700,200,0.24,18225,4.54,17594,4.70,49208,1.68,5400,6.53
001120,LX인터내셔널,42050,850,2.06,9733,4.32,12382,3.40,49349,0.85,2300,5.47
108670,LX하우시스,32300,-700,-2.12,1306,24.73,-,-,86527,0.37,300,0.93
108675,LX하우시스우,14600,-250,-1.68,-,-,-,-,-,-,350,2.40
383800,LX홀딩스,8730,50,0.58,1839,4.75,-,-,18209,0.48,0,0.00
38380K,LX홀딩스1우,10650,150,1.43,-,-,-,-,-,-,0,0.00
086960,MDS테크,5400,-340,-5.92,-,-,-,-,5435,0.99,0,0.00
023150,MH에탄올,7880,-30,-0.38,908,8.68,-,-,9654,0.82,350,4.44
035420,NAVER,169000,-5000,-2.87,110854,1.52,8271,20.43,157641,1.07,511,0.30
160550,NEW,5670,-30,-0.53,-,-,221,25.69,4617,1.23,0,0.00
053290,NE능률,4015,-5,-0.12,262,15.32,-,-,4925,0.82,60,1.49
181710,NHN,23700,-450,-1.86,3341,7.09,1497,15.84,53297,0.44,0,0.00
104200,NHN벅스,5880,-60,-1.01,-,-,-,-,5288,1.11,0,0.00
060250,NHN한국사이버결제,12650,-50,-0.39,784,16.14,1030,12.28,4229,2.99,0,0.00
005940,NH투자증권,8900,-140,-1.55,3071,2.90,1646,5.41,21630,0.41,1050,11.80
005945,NH투자증권우,8950,-50,-0.56,-,-,-,-,-,-,1100,12.29
034310,NICE,12400,-450,-3.50,1548,8.01,-,-,20040,0.62,375,3.02
030190,NICE평가정보,12900,-400,-3.01,915,14.10,1010,12.77,5044,2.56,330,2.56
008260,NI스틸,3975,75,1.92,771,5.16,-,-,4960,0.80,75,1.89
004250,NPC,7190,0,0.00,624,11.52,-,-,7686,0.94,100,1.39
004255,NPC우,3520,120,3.53,-,-,-,-,-,-,105,2.98
010060,OCI,101000,-2500,-2.42,27387,3.69,32594,3.10,128783,0.78,2000,1.98
178920,PI첨단소재,30000,-300,-0.99,2179,13.77,1967,15.25,11097,2.70,1090,3.63
024940,PN풍년,7130,200,2.89,228,31.27,-,-,4757,1.50,25,0.35
005490,POSCO홀딩스,258000,-500,-0.19,87330,2.95,49590,5.20,666803,0.39,17000,6.59
218410,RFHIC,20950,-300,-1.41,239,87.66,783,26.76,10675,1.96,150,0.72
327260,RF머트리얼즈,11300,150,1.35,-,-,750,15.07,4337,2.61,0,0.00
091340,S&K폴리텍,3755,10,0.27,339,11.08,-,-,8546,0.44,250,6.66
010950,S-Oil,89700,-2200,-2.39,11840,7.58,16125,5.56,60024,1.49,3800,4.24
010955,S-Oil우,58000,-300,-0.51,-,-,-,-,-,-,3825,6.59
019550,SBI인베스트먼트,1160,10,0.87,138,8.41,-,-,819,1.42,0,0.00
034120,SBS,28050,-650,-2.26,7693,3.65,7778,3.61,37150,0.76,1000,3.57
046140,SBS콘텐츠허브,5070,-50,-0.98,767,6.61,-,-,8636,0.59,75,1.48
151910,SBW생명과학,1170,-70,-5.65,-,-,-,-,217,5.39,0,0.00
036120,SCI평가정보,4380,75,1.74,168,26.07,-,-,838,5.23,40,0.91
099220,SDN,2000,0,0.00,-,-,-,-,1831,1.09,0,0.00
036540,SFA반도체,4155,-100,-2.35,322,12.90,459,9.04,2436,1.71,0,0.00
255220,SG,1275,-50,-3.77,-,-,-,-,1839,0.69,0,0.00
040610,SG&G,1650,-5,-0.30,441,3.74,-,-,8743,0.19,0,0.00
049470,SGA,669,-6,-0.89,88,7.60,-,-,901,0.74,0,0.00
184230,SGA솔루션즈,755,-5,-0.66,37,20.41,-,-,793,0.95,0,0.00
005090,SGC에너지,31950,150,0.47,4270,7.48,8568,3.73,41630,0.77,1500,4.69
016250,SGC이테크건설,37100,1900,5.40,28436,1.30,-,-,84840,0.44,1500,4.04
001380,SG글로벌,1395,20,1.45,-,-,-,-,2735,0.51,0,0.00
004060,SG세계물산,547,3,0.55,232,2.36,-,-,1207,0.45,0,0.00
001770,SHD,31950,-1550,-4.63,4768,6.70,-,-,33420,0.96,100,0.31
002360,SH에너지화학,927,-11,-1.17,6,154.50,-,-,835,1.11,10,1.08
009160,SIMPAC,6620,20,0.30,1621,4.08,-,-,9786,0.68,200,3.02
123700,SJM,3365,-5,-0.15,456,7.38,-,-,11373,0.30,150,4.46
025530,SJM홀딩스,3885,50,1.30,314,12.37,-,-,11249,0.35,175,4.50
034730,SK,219500,1000,0.46,37408,5.87,31564,6.95,375047,0.59,8000,3.64
011790,SKC,107000,3500,3.38,6174,17.33,4711,22.71,55782,1.92,1100,1.03
018670,SK가스,117000,500,0.43,27773,4.21,21818,5.36,235917,0.50,5100,4.36
001740,SK네트웍스,4110,10,0.24,451,9.11,368,11.18,10056,0.41,120,2.92
001745,SK네트웍스우,56300,0,0.00,-,-,-,-,-,-,145,0.26
006120,SK디스커버리,29850,-350,-1.16,10478,2.85,-,-,121961,0.24,1500,5.03
006125,SK디스커버리우,28000,100,0.36,-,-,-,-,-,-,1550,5.54
210980,SK디앤디,20850,-350,-1.65,5910,3.53,4660,4.47,26427,0.79,800,3.84
068400,SK렌터카,6520,-50,-0.76,453,14.39,833,7.82,10651,0.61,0,0.00
302440,SK바이오사이언스,80700,-2900,-3.47,4844,16.66,1773,45.53,20932,3.86,0,0.00
326030,SK바이오팜,59400,-800,-1.33,828,71.74,-,-,5672,10.47,0,0.00
402340,SK스퀘어,36850,-350,-0.94,2653,13.89,6997,5.27,117868,0.31,0,0.00
361610,SK아이이테크놀로지,55700,-4300,-7.17,1394,39.96,1693,32.90,31084,1.79,0,0.00
03473K,SK우,177500,0,0.00,-,-,-,-,-,-,8050,4.54
096770,SK이노베이션,189500,6000,3.27,3640,52.06,23096,8.20,206117,0.92,2508,1.32
096775,SK이노베이션우,113000,3000,2.73,-,-,-,-,-,-,2558,2.26
001510,SK증권,659,-4,-0.60,92,7.16,-,-,1446,0.46,15,2.28
001515,SK증권우,2830,-5,-0.18,-,-,-,-,-,-,20,0.71
285130,SK케미칼,88700,-2500,-2.74,8586,10.33,8634,10.27,105002,0.84,3000,3.38
28513K,SK케미칼우,39100,-1200,-2.98,-,-,-,-,-,-,3050,7.80
017670,SK텔레콤,50400,100,0.20,7191,7.01,5187,9.72,53218,0.95,3295,6.54
000660,SK하이닉스,82700,-1800,-2.13,13989,5.91,990,83.56,90394,0.91,1540,1.86
048550,SMC&C,3200,5,0.16,-,-,-,-,1049,3.05,0,0.00
063440,SMLifeDesign,2220,-5,-0.22,40,55.50,-,-,1068,2.08,0,0.00
064960,SNT모티브,44850,1400,3.22,5787,7.75,6557,6.84,61655,0.73,1600,3.57
100840,SNT에너지,20600,950,4.83,1957,10.53,-,-,37171,0.55,800,3.88
003570,SNT중공업,8870,70,0.80,2666,3.33,-,-,29158,0.30,400,4.51
036530,SNT홀딩스,14550,-50,-0.34,5329,2.73,-,-,65710,0.22,700,4.81
005610,SPC삼립,70000,0,0.00,4990,14.03,8058,8.69,41335,1.69,1500,2.14
011810,STX,4070,70,1.75,-,-,-,-,2337,1.74,0,0.00
077970,STX엔진,13150,100,0.77,2,6575.00,-,-,10271,1.28,0,0.00
071970,STX중공업,3855,0,0.00,-,-,-,-,5428,0.71,0,0.00
002820,SUN&L,3670,40,1.10,-,-,-,-,14375,0.26,80,2.18
289080,SV인베스트먼트,2175,0,0.00,201,10.82,-,-,1297,1.68,60,2.76
084870,TBH글로벌,1715,0,0.00,-,-,-,-,2622,0.65,0,0.00
002710,TCC스틸,9550,150,1.60,1242,7.69,2144,4.45,6507,1.47,150,1.57
089230,THEE&M,369,0,0.00,-,-,-,-,494,0.75,0,0.00
161570,THEMIDONG,1005,0,0.00,-,-,-,-,1194,0.84,0,0.00
032540,TJ미디어,5250,40,0.77,230,22.83,577,9.10,5781,0.91,60,1.14
022220,TKG애강,1465,-10,-0.68,88,16.65,-,-,1740,0.84,0,0.00
069260,TKG휴켐스,20900,-50,-0.24,1972,10.60,2783,7.51,18226,1.15,1000,4.78
048770,TPC,3420,25,0.74,139,24.60,-,-,2590,1.32,35,1.02
246690,TS인베스트먼트,1795,-25,-1.37,258,6.96,-,-,1593,1.13,10,0.56
317240,TS트릴리온,648,-7,-1.07,-,-,-,-,167,3.88,0,0.00
002900,TYM,2245,-170,-7.04,195,11.51,763,2.94,1714,1.31,20,0.89
038340,UCI,1335,0,0.00,-,-,-,-,1139,1.17,0,0.00
073570,WI,3020,130,4.50,-,-,-,-,392,7.70,0,0.00
024070,WISCOM,2715,-65,-2.34,79,34.37,-,-,7839,0.35,50,1.84
057030,YBM넷,3660,5,0.14,158,23.16,-,-,2651,1.38,100,2.73
037270,YGPLUS,4020,-50,-1.23,348,11.55,-,-,2125,1.89,0,0.00
040300,YTN,5920,40,0.68,1228,4.82,-,-,5759,1.03,50,0.84
051390,YW,3420,25,0.74,308,11.10,-,-,8638,0.40,100,2.92
052220,iMBC,3865,-10,-0.26,48,80.52,-,-,2403,1.61,0,0.00
079940,가비아,10200,0,0.00,898,11.36,-,-,7620,1.34,70,0.69
078890,가온미디어,6010,-10,-0.17,1391,4.32,-,-,11854,0.51,100,1.66
000500,가온전선,16700,-200,-1.18,1285,13.00,-,-,58877,0.28,420,2.51
399720,가온칩스,19900,50,0.25,677,29.39,-,-,2319,8.58,0,0.00
036620,감성코퍼레이션,1450,-35,-2.36,4,362.50,264,5.49,373,3.89,0,0.00
000860,강남제비스코,21000,100,0.48,6948,3.02,-,-,90881,0.23,500,2.38
217730,강스템바이오텍,2840,-20,-0.70,-,-,-,-,1791,1.59,0,0.00
035250,강원랜드,23000,50,0.22,-,-,1572,14.63,16044,1.43,0,0.00
114190,강원에너지,8240,620,8.14,287,28.71,-,-,1095,7.53,0,0.00
094480,갤럭시아머니트리,5100,-70,-1.35,-,-,-,-,2784,1.83,45,0.88
011420,갤럭시아에스엠,1795,-5,-0.28,134,13.40,-,-,1200,1.50,0,0.00
039240,경남스틸,3040,-25,-0.82,245,12.41,-,-,3708,0.82,100,3.29
053950,경남제약,1840,-15,-0.81,-,-,-,-,3199,0.58,0,0.00
002100,경농,9250,-50,-0.54,890,10.39,-,-,11888,0.78,350,3.78
009450,경동나비엔,33850,-550,-1.60,5898,5.74,-,-,31164,1.09,450,1.33
267290,경동도시가스,22650,-50,-0.22,3756,6.03,-,-,63687,0.36,875,3.86
012320,경동인베스트,76400,3500,4.80,6714,11.38,-,-,197979,0.39,750,0.98
011040,경동제약,7370,0,0.00,460,16.02,-,-,9540,0.77,500,6.78
000050,경방,11000,-250,-2.22,872,12.61,-,-,30033,0.37,125,1.14
214390,경보제약,5530,90,1.65,-,-,-,-,6095,0.91,50,0.90
012610,경인양행,4820,-20,-0.41,589,8.18,-,-,5553,0.87,50,1.04
009140,경인전자,25500,700,2.82,2843,8.97,-,-,45795,0.56,250,0.98
024910,경창산업,1960,-10,-0.51,119,16.47,-,-,2507,0.78,0,0.00
013580,계룡건설,17200,-150,-0.86,17601,0.98,15499,1.11,78914,0.22,800,4.65
012200,계양전기,2610,-25,-0.95,-,-,-,-,5389,0.48,35,1.34
012205,계양전기우,5060,-20,-0.39,-,-,-,-,-,-,40,0.79
002140,고려산업,4435,-165,-3.59,183,24.23,-,-,4323,1.03,40,0.90
198440,고려시멘트,2705,5,0.19,145,18.66,-,-,3663,0.74,15,0.55
049720,고려신용정보,12300,50,0.41,708,17.37,-,-,2380,5.17,300,2.44
010130,고려아연,586000,-35000,-5.64,45648,12.84,43936,13.34,430439,1.36,20000,3.41
002240,고려제강,18350,50,0.27,5645,3.25,-,-,66447,0.28,300,1.63
014570,고려제약,7060,-60,-0.84,828,8.53,-,-,7112,0.99,170,2.41
348150,고바이오랩,11200,-250,-2.18,-,-,-,-,5026,2.23,0,0.00
098460,고영,11800,-50,-0.42,586,20.14,728,16.21,4148,2.84,120,1.02
035290,골드앤에스,4415,-155,-3.39,21,210.24,-,-,419,10.54,0,0.00
038530,골드퍼시픽,453,-2,-0.44,-,-,-,-,758,0.60,0,0.00
215000,골프존,109100,-3500,-3.11,12167,8.97,21581,5.06,45891,2.38,3500,3.21
121440,골프존뉴딘홀딩스,5380,-50,-0.92,3152,1.71,-,-,14014,0.38,140,2.60
366030,공구우먼,9160,-100,-1.08,581,15.77,-,-,1797,5.10,2400,26.20
009290,광동제약,6110,-10,-0.16,585,10.44,-,-,12151,0.50,100,1.64
014200,광림,1265,60,4.98,-,-,-,-,1593,0.79,0,0.00
017040,광명전기,2265,15,0.67,134,16.90,-,-,2486,0.91,10,0.44
029480,광무,3465,15,0.43,-,-,-,-,2230,1.55,0,0.00
017900,광전자,2125,5,0.24,219,9.70,-,-,4165,0.51,50,2.35
037710,광주신세계,31400,-150,-0.48,6584,4.77,-,-,93727,0.34,1700,5.41
026910,광진실업,5250,-20,-0.38,181,29.01,-,-,4054,1.30,0,0.00
355150,교보10호스팩,2400,0,0.00,-,-,-,-,-,-,0,0.00
397880,교보11호스팩,2020,-10,-0.49,-,-,-,-,-,-,0,0.00
421800,교보12호스팩,2005,-5,-0.25,-,-,-,-,-,-,0,0.00
440790,교보13호스팩,1960,-15,-0.76,-,-,-,-,-,-,0,0.00
030610,교보증권,5270,-10,-0.19,2255,2.34,-,-,21947,0.24,500,9.49
339770,교촌에프앤비,10500,50,0.48,1195,8.79,1171,8.97,7197,1.46,300,2.86
053270,구영테크,2495,-30,-1.19,127,19.65,-,-,3091,0.81,30,1.20
007690,국도화학,43600,-250,-0.57,21321,2.04,17711,2.46,92708,0.47,2200,5.05
005320,국동,1055,30,2.93,-,-,-,-,1901,0.55,0,0.00
001140,국보,697,-25,-3.46,-,-,-,-,477,1.46,0,0.00
066620,국보디자인,18800,950,5.32,2843,6.61,-,-,33094,0.57,340,1.81
043650,국순당,6650,0,0.00,1369,4.86,923,7.20,15298,0.43,260,3.91
006050,국영지앤엠,1330,35,2.70,-,-,-,-,1362,0.98,0,0.00
060480,국일신동,2865,0,0.00,78,36.73,-,-,4285,0.67,50,1.75
078130,국일제지,2480,-50,-1.98,-,-,-,-,531,4.67,0,0.00
307750,국전약품,7630,-30,-0.39,91,83.85,-,-,1695,4.50,10,0.13
002720,국제약품,4300,-55,-1.26,-,-,-,-,3565,1.21,0,0.00
035080,그래디언트,13400,-500,-3.60,-,-,-,-,18460,0.73,250,1.87
204020,그리티,2940,-40,-1.34,-,-,-,-,3334,0.88,0,0.00
083420,그린케미칼,10550,650,6.57,683,15.45,-,-,5290,1.99,220,2.09
186230,그린플러스,11500,300,2.68,-,-,514,22.36,5128,2.24,0,0.00
014530,극동유화,3655,-5,-0.14,339,10.78,-,-,5350,0.68,160,4.38
204620,글로벌텍스프리,2335,-50,-2.10,-,-,-,-,1571,1.49,0,0.00
019660,글로본,2800,120,4.48,-,-,-,-,530,5.28,0,0.00
014280,금강공업,5350,70,1.33,762,7.02,-,-,11309,0.47,100,1.87
014285,금강공업우,11750,-250,-2.08,-,-,-,-,-,-,110,0.94
053260,금강철강,6650,40,0.61,631,10.54,-,-,7407,0.90,120,1.80
008870,금비,57700,-700,-1.20,4566,12.64,-,-,129156,0.45,1600,2.77
001570,금양,31750,-100,-0.31,295,107.63,-,-,2530,12.55,0,0.00
002990,금호건설,6180,-120,-1.90,4130,1.50,2286,2.70,18202,0.34,800,12.94
002995,금호건설우,20200,-450,-2.18,-,-,-,-,-,-,850,4.21
011780,금호석유,134500,-3000,-2.18,70433,1.91,25315,5.31,181037,0.74,10000,7.43
011785,금호석유우,88600,0,0.00,-,-,-,-,-,-,10050,11.34
214330,금호에이치티,998,-2,-0.20,-,-,-,-,1855,0.54,0,0.00
001210,금호전기,997,-8,-0.80,-,-,-,-,1541,0.65,0,0.00
073240,금호타이어,3030,-30,-0.98,-,-,-,-,4083,0.74,0,0.00
036190,금화피에스시,28100,50,0.18,3919,7.17,4386,6.41,46357,0.61,1300,4.63
049080,기가레인,1215,-10,-0.82,49,24.80,53,22.74,785,1.55,0,0.00
035460,기산텔레콤,2445,35,1.45,-,-,-,-,2159,1.13,0,0.00
092440,기신정기,3440,-15,-0.43,291,11.82,-,-,8569,0.40,150,4.36
000270,기아,64500,-1700,-2.57,11874,5.43,15711,4.11,87073,0.74,3000,4.65
024110,기업은행,10400,-100,-0.95,2877,3.61,3549,2.93,34345,0.30,780,7.50
013700,까뮤이앤씨,1720,10,0.58,-,-,-,-,2230,0.77,20,1.16
308100,까스텔바작,6950,-50,-0.71,-,-,-,-,10882,0.64,0,0.00
004540,깨끗한나라,2915,-30,-1.02,225,12.96,-,-,6103,0.48,0,0.00
004545,깨끗한나라우,16800,0,0.00,-,-,-,-,-,-,0,0.00
187790,나노,1220,-5,-0.41,-,-,-,-,1171,1.04,0,0.00
286750,나노브릭,1405,25,1.81,-,-,-,-,606,2.32,0,0.00
121600,나노신소재,96000,4200,4.58,703,136.56,2900,33.10,9322,10.30,120,0.13
247660,나노씨엠에스,20200,150,0.75,-,-,-,-,7212,2.80,0,0.00
039860,나노엔텍,5110,-130,-2.48,273,18.72,-,-,1953,2.62,0,0.00
091970,나노캠텍,1610,0,0.00,-,-,-,-,1665,0.97,0,0.00
051490,나라엠앤디,6760,210,3.21,262,25.80,-,-,6064,1.11,50,0.74
137080,나래나노텍,9740,1240,14.59,2082,4.68,-,-,7456,1.31,200,2.05
190510,나무가,11850,250,2.16,1164,10.18,-,-,4157,2.85,0,0.00
242040,나무기술,1925,25,1.32,-,-,-,-,1183,1.63,0,0.00
089600,나스미디어,29800,-350,-1.16,2548,11.70,3433,8.68,18185,1.64,800,2.68
293580,나우IB,7900,30,0.38,1332,5.93,-,-,9232,0.86,150,1.90
138610,나이벡,20150,0,0.00,-,-,-,-,2761,7.30,0,0.00
130580,나이스디앤비,7240,50,0.70,863,8.39,897,8.07,4702,1.54,230,3.18
036800,나이스정보통신,26400,-300,-1.12,4245,6.22,4567,5.78,29620,0.89,590,2.23
267320,나인테크,3375,35,1.05,-,-,225,15.01,656,5.14,0,0.00
001260,남광토건,9600,850,9.71,2208,4.35,-,-,8935,1.07,0,0.00
008350,남선알미늄,2085,20,0.97,377,5.53,-,-,2135,0.98,0,0.00
008355,남선알미우,23300,150,0.65,-,-,-,-,-,-,0,0.00
004270,남성,1800,-10,-0.55,226,7.96,-,-,3790,0.47,25,1.39
003920,남양유업,371500,500,0.13,-,-,-,-,960522,0.39,1000,0.27
003925,남양유업우,207500,0,0.00,-,-,-,-,-,-,1050,0.51
025860,남해화학,8840,-70,-0.79,452,19.56,-,-,9748,0.91,60,0.68
111710,남화산업,6930,-60,-0.86,667,10.39,-,-,7377,0.94,200,2.89
091590,남화토건,6600,0,0.00,1080,6.11,-,-,12722,0.52,150,2.27
168330,내츄럴엔도텍,3005,-5,-0.17,-,-,-,-,1408,2.13,0,0.00
094860,네오리진,641,0,0.00,-,-,-,-,423,1.52,0,0.00
253590,네오셈,3255,10,0.31,156,20.87,510,6.38,1401,2.32,15,0.46
212560,네오오토,6830,40,0.59,834,8.19,-,-,11311,0.60,70,1.02
095660,네오위즈,35600,-1250,-3.39,2660,13.38,3569,9.98,21629,1.65,0,0.00
042420,네오위즈홀딩스,24650,-1000,-3.90,8825,2.79,-,-,59327,0.42,692,2.81
311390,네오크레마,8890,300,3.49,251,35.42,-,-,5674,1.57,0,0.00
085910,네오티스,4730,15,0.32,497,9.52,-,-,4159,1.14,250,5.29
092730,네오팜,17500,150,0.86,2265,7.73,-,-,16662,1.05,700,4.00
290660,네오펙트,1440,20,1.41,-,-,-,-,644,2.24,0,0.00
306620,네온테크,3850,250,6.94,-,-,-,-,925,4.16,0,0.00
153460,네이블,6840,-50,-0.73,428,15.98,-,-,4265,1.60,0,0.00
007390,네이처셀,17600,-850,-4.61,-,-,-,-,972,18.11,0,0.00
033640,네패스,17800,-400,-2.20,-,-,-,-,7667,2.32,0,0.00
330860,네패스아크,22050,-150,-0.68,2084,10.58,2554,8.63,16497,1.34,0,0.00
005720,넥센,3960,-30,-0.75,521,7.60,-,-,19877,0.20,100,2.53
005725,넥센우,3280,5,0.15,-,-,-,-,-,-,105,3.20
002350,넥센타이어,7140,-660,-8.46,45,158.67,940,7.60,15543,0.46,105,1.47
002355,넥센타이어1우B,2845,-135,-4.53,-,-,-,-,-,-,110,3.87
089140,넥스턴바이오,2295,55,2.46,-,-,-,-,2892,0.79,0,0.00
137940,넥스트아이,634,17,2.76,-,-,-,-,1378,0.46,0,0.00
396270,넥스트칩,7420,100,1.37,-,-,-,-,2223,3.34,0,0.00
348210,넥스틴,52700,-1500,-2.77,1889,27.90,6447,8.17,6778,7.78,500,0.95
225570,넥슨게임즈,14600,-200,-1.35,-,-,-,-,2154,6.78,0,0.00
217270,넵튠,12600,-500,-3.82,2518,5.00,-,-,12411,1.02,0,0.00
251270,넷마블,45000,-2550,-5.36,2933,15.34,1047,43.00,70683,0.64,528,1.17
104620,노랑풍선,5800,-40,-0.68,-,-,-,-,3041,1.91,0,0.00
090350,노루페인트,7810,-10,-0.13,706,11.06,-,-,16859,0.46,275,3.52
090355,노루페인트우,15400,-100,-0.65,-,-,-,-,-,-,280,1.82
000320,노루홀딩스,10050,-100,-0.99,153,65.69,-,-,35333,0.28,450,4.48
000325,노루홀딩스우,20750,-350,-1.66,-,-,-,-,-,-,455,2.19
194700,노바렉스,12050,-100,-0.82,1724,6.99,1820,6.62,9122,1.32,300,2.49
285490,노바텍,19300,-150,-0.77,3873,4.98,-,-,11348,1.70,150,0.78
106520,노블엠앤비,2800,5,0.18,-,-,-,-,2173,1.29,0,0.00
376930,노을,5330,0,0.00,-,-,-,-,187,28.50,0,0.00
278650,노터스,5450,-100,-1.80,144,37.85,-,-,921,5.92,200,3.67
006280,녹십자,125500,-6000,-4.56,10796,11.62,5632,22.28,111693,1.12,2000,1.59
142280,녹십자엠에스,5270,-150,-2.77,-,-,-,-,1714,3.07,0,0.00
234690,녹십자웰빙,6300,-70,-1.10,378,16.67,-,-,4974,1.27,80,1.27
005250,녹십자홀딩스,16550,-550,-3.22,1222,13.54,-,-,22586,0.73,400,2.42
005257,녹십자홀딩스2우,40250,-50,-0.12,-,-,-,-,-,-,400,0.99
065560,녹원씨엔아이,5770,0,0.00,-,-,-,-,2064,2.80,0,0.00
004370,농심,305000,-1500,-0.49,17263,17.67,20258,15.06,377778,0.81,4000,1.31
072710,농심홀딩스,61900,300,0.49,10581,5.85,-,-,223666,0.28,2000,3.23
054050,농우바이오,8130,-20,-0.25,432,18.82,299,27.20,15198,0.53,200,2.46
069140,누리플랜,4640,65,1.42,146,31.78,-,-,4998,0.93,0,0.00
040160,누리플렉스,4845,10,0.21,773,6.27,-,-,6978,0.69,0,0.00
332290,누보,1620,30,1.89,-,-,-,-,1959,0.83,0,0.00
060260,뉴보텍,792,0,0.00,-,-,-,-,387,2.05,0,0.00
012340,뉴인텍,3055,-15,-0.49,12,254.58,-,-,925,3.30,0,0.00
214870,뉴지랩파마,9860,-130,-1.30,-,-,-,-,934,10.56,0,0.00
270870,뉴트리,8550,-150,-1.72,2234,3.83,-,-,10475,0.82,250,2.92
144960,뉴파워프라즈마,3360,-65,-1.90,562,5.98,-,-,4943,0.68,50,1.49
085670,뉴프렉스,5130,-30,-0.58,105,48.86,988,5.19,2107,2.43,0,0.00
119860,다나와,17150,0,0.00,2235,7.67,-,-,12201,1.41,0,0.00
064260,다날,5690,-140,-2.40,843,6.75,-,-,5075,1.12,0,0.00
093640,다믈멀티미디어,4500,-15,-0.33,196,22.96,-,-,2584,1.74,0,0.00
340360,다보링크,900,3,0.33,-,-,-,-,575,1.57,0,0.00
039560,다산네트웍스,4015,-65,-1.59,-,-,-,-,4962,0.81,0,0.00
058730,다스코,5680,270,4.99,-,-,-,-,7481,0.76,0,0.00
298870,다올인베스트먼트,2070,60,2.99,797,2.60,-,-,3103,0.67,150,7.25
030210,다올투자증권,2860,-120,-4.03,2669,1.07,2333,1.23,10191,0.28,250,8.74
023590,다우기술,18250,-50,-0.27,8693,2.10,-,-,45679,0.40,600,3.29
032190,다우데이타,15950,-300,-1.85,3838,4.16,-,-,24053,0.66,300,1.88
068240,다원시스,16950,-100,-0.59,-,-,-,-,8424,2.01,50,0.29
