종목코드,종목명,종가,대비,등락률,EPS,PER,선행EPS,선행PER,BPS,PBR,주당배당금,배당수익률
005380,현대차,162000,-3000,-1.82,18979,8.54,30151,5.37,289609,0.56,5000,3.09
005387,현대차2우B,78400,-1800,-2.24,-,-,-,-,-,-,5100,6.51
005389,현대차3우B,74600,-600,-0.80,-,-,-,-,-,-,5050,6.77
005385,현대차우,77400,-1600,-2.03,-,-,-,-,-,-,5050,6.52
001500,현대차증권,9170,-60,-0.65,3702,2.48,-,-,29950,0.31,800,8.72
011760,현대코퍼레이션,17050,400,2.40,3146,5.42,5093,3.35,30061,0.57,600,3.52
227840,현대코퍼레이션홀딩스,10500,50,0.48,1434,7.32,-,-,22443,0.47,500,4.76
126560,현대퓨처넷,2730,35,1.30,846,3.23,-,-,6969,0.39,90,3.30
001450,현대해상,33100,-700,-2.07,5286,6.26,5736,5.77,63866,0.52,1480,4.47
057050,현대홈쇼핑,44650,-550,-1.22,8881,5.03,10264,4.35,164432,0.27,2400,5.38
092300,현우산업,4085,75,1.87,-,-,-,-,4840,0.84,100,2.45
138360,협진,4480,0,0.00,43,104.19,-,-,1314,3.41,0,0.00
011080,형지I&C,2640,85,3.33,-,-,-,-,775,3.41,0,0.00
093240,형지엘리트,1600,-40,-2.44,-,-,-,-,1952,0.82,0,0.00
003010,혜인,6640,200,3.11,507,13.10,-,-,10380,0.64,130,1.96
111110,호전실업,7050,-10,-0.14,1517,4.65,-,-,13408,0.53,250,3.55
008770,호텔신라,62700,-1800,-2.79,714,87.82,2693,23.28,15228,4.12,200,0.32
008775,호텔신라우,51900,-200,-0.38,-,-,-,-,-,-,250,0.48
060560,홈센타홀딩스,1095,-5,-0.45,83,13.19,-,-,1010,1.08,0,0.00
064240,홈캐스트,4185,105,2.57,698,6.00,-,-,2778,1.51,0,0.00
039610,화성밸브,5490,90,1.67,229,23.97,-,-,7465,0.74,0,0.00
002460,화성산업,10900,-50,-0.46,2467,4.42,-,-,34410,0.32,1000,9.17
378850,화승알앤에이,3725,-20,-0.53,300,12.42,-,-,3175,1.17,25,0.67
241590,화승엔터프라이즈,8790,-300,-3.30,-,-,1366,6.44,8858,0.99,45,0.51
006060,화승인더,3790,-65,-1.69,-,-,-,-,6826,0.56,188,4.96
013520,화승코퍼레이션,1320,-30,-2.22,-,-,-,-,3250,0.41,25,1.89
010690,화신,9240,10,0.11,741,12.47,2374,3.89,8760,1.05,70,0.76
126640,화신정공,1560,-15,-0.95,130,12.00,-,-,2789,0.56,30,1.92
133820,화인베스틸,2250,15,0.67,80,28.13,-,-,2690,0.84,0,0.00
061250,화일약품,2295,5,0.22,44,52.16,-,-,2768,0.83,0,0.00
010660,화천기계,4320,-5,-0.12,272,15.88,-,-,6354,0.68,10,0.23
000850,화천기공,31100,200,0.65,4233,7.35,-,-,140159,0.22,1000,3.22
016580,환인제약,17300,0,0.00,1746,9.91,1332,12.99,20760,0.83,300,1.73
032560,황금에스티,7350,50,0.68,1756,4.19,-,-,17464,0.42,200,2.72
004800,효성,68600,-600,-0.87,22012,3.12,7957,8.62,131860,0.52,6500,9.48
094280,효성ITX,13000,0,0.00,1209,10.75,-,-,8676,1.50,750,5.77
097870,효성오앤비,7820,-190,-2.37,306,25.56,-,-,8496,0.92,0,0.00
298040,효성중공업,62500,2100,3.48,6187,10.10,8777,7.12,100113,0.62,0,0.00
298050,효성첨단소재,325500,2500,0.77,56109,5.80,52127,6.24,135183,2.41,10000,3.07
298020,효성티앤씨,276000,-6000,-2.13,178503,1.55,37558,7.35,329152,0.84,50000,18.12
298000,효성화학,106500,-2000,-1.84,22158,4.81,28761,3.70,157800,0.67,0,0.00
093370,후성,12450,0,0.00,244,51.02,1136,10.96,2679,4.65,15,0.12
081660,휠라홀딩스,32950,-700,-2.08,3914,8.42,4716,6.99,26806,1.23,1000,3.03
290270,휴네시온,4145,-25,-0.60,1575,2.63,-,-,4361,0.95,40,0.97
005870,휴니드,6590,-120,-1.79,994,6.63,-,-,10174,0.65,0,0.00
353190,휴럼,1130,5,0.44,-,-,-,-,956,1.18,0,0.00
192410,휴림네트웍스,921,-3,-0.32,41,22.46,-,-,553,1.67,0,0.00
090710,휴림로봇,2125,-10,-0.47,-,-,-,-,443,4.80,0,0.00
205470,휴마시스,18950,-850,-4.29,4422,4.29,-,-,5908,3.21,200,1.06
115160,휴맥스,3570,-30,-0.83,-,-,-,-,7434,0.48,0,0.00
028080,휴맥스홀딩스,3220,-50,-1.53,-,-,-,-,10961,0.29,0,0.00
032860,휴먼엔,3640,0,0.00,-,-,-,-,1808,2.01,0,0.00
200670,휴메딕스,20900,-100,-0.48,964,21.68,3016,6.93,13399,1.56,400,1.91
079980,휴비스,4930,-5,-0.10,111,44.41,-,-,14188,0.35,300,6.09
065510,휴비츠,10850,250,2.36,848,12.79,2404,4.51,8297,1.31,200,1.84
215090,휴센텍,1505,0,0.00,-,-,-,-,317,4.75,0,0.00
005010,휴스틸,6300,570,9.95,898,7.02,-,-,14549,0.43,160,2.54
263920,휴엠앤씨,1085,-10,-0.91,-,-,-,-,772,1.41,0,0.00
243070,휴온스,30650,-450,-1.45,2602,11.78,4070,7.53,22516,1.36,600,1.96
084110,휴온스글로벌,17800,-150,-0.84,322,55.28,-,-,43390,0.41,500,2.81
145020,휴젤,108900,-4100,-3.63,4733,23.01,5816,18.72,63860,1.71,0,0.00
024060,흥구석유,6180,-180,-2.83,96,64.38,-,-,5426,1.14,100,1.62
010240,흥국,5550,180,3.35,1027,5.40,-,-,7439,0.75,200,3.60
189980,흥국에프엔비,2430,-10,-0.41,164,14.82,-,-,2004,1.21,30,1.23
000540,흥국화재,2935,-20,-0.68,873,3.36,-,-,10599,0.28,0,0.00
000547,흥국화재2우B,19550,-700,-3.46,-,-,-,-,-,-,0,0.00
000545,흥국화재우,6200,-230,-3.58,-,-,-,-,-,-,0,0.00
003280,흥아해운,1445,-50,-3.34,118,12.25,-,-,428,3.38,0,0.00
037440,희림,11850,2480,26.47,490,24.18,-,-,4769,2.48,150,1.27
238490,힘스,5800,-20,-0.34,-,-,-,-,6598,0.88,100,1.72
