종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
003495,대한항공우 ,"26,200",-50,-0.19,-,-,-,-,-,-,0,0.00
005880,대한해운 ,"1,945",-40,-2.02,891,2.18,623,3.12,"4,140",0.47,0,0.00
003830,대한화섬 ,"100,500","-1,500",-1.47,"21,701",4.63,-,-,"660,594",0.15,750,0.75
016090,대현 ,"2,085",-60,-2.80,435,4.79,-,-,"4,991",0.42,90,4.32
069460,대호에이엘 ,"1,340",-25,-1.83,-,-,-,-,"1,368",0.98,0,0.00
021040,대호특수강 ,540,1,0.19,100,5.40,-,-,664,0.81,0,0.00
021045,대호특수강우 ,"1,005",6,0.60,-,-,-,-,-,-,0,0.00
067080,대화제약 ,"9,600",-170,-1.74,127,75.59,-,-,"4,548",2.11,150,1.56
298540,더네이쳐홀딩스 ,"27,650",300,1.10,"4,009",6.90,"5,882",4.70,"15,132",1.83,200,0.72
192080,더블유게임즈 ,"48,400",-150,-0.31,"7,391",6.55,"5,857",8.26,"49,639",0.98,700,1.45
393890,더블유씨피 ,"50,900",-100,-0.20,-,-,-,-,"16,427",3.10,0,0.00
299170,더블유에스아이 ,"2,390",100,4.37,245,9.76,-,-,"1,105",2.16,0,0.00
012510,더존비즈온 ,"31,050",-250,-0.80,"1,704",18.22,"1,456",21.32,"15,708",1.98,450,1.45
213420,덕산네오룩스 ,"37,050",700,1.93,"1,946",19.04,"2,109",17.57,"11,561",3.20,0,0.00
317330,덕산테코피아 ,"17,650",450,2.62,977,18.07,"1,034",17.07,"9,481",1.86,0,0.00
077360,덕산하이메탈 ,"5,650",-100,-1.74,751,7.52,797,7.09,"6,137",0.92,0,0.00
004830,덕성 ,"5,040",-40,-0.79,372,13.55,-,-,"5,252",0.96,45,0.89
004835,덕성우 ,"6,060",70,1.17,-,-,-,-,-,-,50,0.83
090410,덕신하우징 ,"1,805",160,9.73,78,23.14,-,-,"1,759",1.03,0,0.00
024900,덕양산업 ,"2,795",0,0.00,191,14.63,-,-,"1,711",1.63,0,0.00
263600,덕우전자 ,"6,730",10,0.15,265,25.40,-,-,"6,302",1.07,70,1.04
194480,데브시스터즈 ,"47,500",-800,-1.66,"5,918",8.03,"3,922",12.11,"15,642",3.04,500,1.05
263800,데이타솔루션 ,"5,120",-120,-2.29,74,69.19,-,-,"1,755",2.92,0,0.00
206560,덱스터 ,"9,350",-200,-2.09,-,-,-,-,"2,329",4.01,0,0.00
261200,덴티스 ,"7,250",-70,-0.96,43,168.60,"1,284",5.65,"2,211",3.28,0,0.00
145720,덴티움 ,"71,500","-3,400",-4.54,"6,434",11.11,"10,313",6.93,"33,841",2.11,250,0.35
067990,도이치모터스 ,"6,170",-10,-0.16,"1,193",5.17,-,-,"10,950",0.56,350,5.67
002150,도화엔지니어링 ,"11,200","1,590",16.55,451,24.83,-,-,"7,976",1.40,280,2.50
006620,동구바이오제약 ,"5,780",-10,-0.17,330,17.52,-,-,"3,571",1.62,100,1.73
100130,동국S&C ,"5,280",70,1.34,302,17.48,431,12.24,"4,872",1.08,100,1.89
005160,동국산업 ,"4,920",105,2.18,382,12.88,-,-,"7,687",0.64,130,2.64
075970,동국알앤에스 ,"4,165",-105,-2.46,161,25.87,-,-,"4,197",0.99,80,1.92
001230,동국제강 ,"11,750",0,0.00,"5,888",2.00,"5,447",2.16,"28,552",0.41,400,3.40
086450,동국제약 ,"16,200",-200,-1.22,"1,146",14.14,"1,651",9.81,"10,165",1.59,180,1.11
023450,동남합성 ,"52,600",-300,-0.57,"3,271",16.08,-,-,"12,909",4.07,"4,300",8.17
004140,동방 ,"2,235",30,1.36,-,-,-,-,"2,706",0.83,0,0.00
099410,동방선기 ,"2,820",10,0.36,78,36.15,-,-,"2,119",1.33,0,0.00
007590,동방아그로 ,"6,320",-60,-0.94,570,11.09,-,-,"11,814",0.53,350,5.54
005960,동부건설 ,"6,700",-230,-3.32,"5,103",1.31,-,-,"24,388",0.27,900,13.43
005965,동부건설우 ,"21,400",-200,-0.93,-,-,-,-,-,-,950,4.44
026960,동서 ,"20,800",0,0.00,"1,149",18.10,-,-,"14,531",1.43,700,3.37
002210,동성제약 ,"6,600",-60,-0.90,-,-,-,-,"2,008",3.29,0,0.00
102260,동성케미컬 ,"4,480",5,0.11,371,12.08,-,-,"6,992",0.64,200,4.46
033500,동성화인텍 ,"11,250",150,1.35,961,11.71,998,11.27,"5,064",2.22,350,3.11
025950,동신건설 ,"16,150",50,0.31,-,-,-,-,"10,025",1.61,150,0.93
000640,동아쏘시오홀딩스 ,"100,500","-3,000",-2.90,"9,768",10.29,"10,774",9.33,"154,410",0.65,"1,500",1.49
170900,동아에스티 ,"56,000",-800,-1.41,"1,519",36.87,"3,753",14.92,"77,762",0.72,"1,000",1.79
088130,동아엘텍 ,"6,350",-60,-0.94,432,14.70,"1,230",5.16,"17,545",0.36,150,2.36
028100,동아지질 ,"14,200",700,5.19,412,34.47,-,-,"18,086",0.79,350,2.46
282690,동아타이어 ,"11,450",-100,-0.87,"1,204",9.51,-,-,"26,982",0.42,"1,000",8.73
041930,동아화성 ,"7,820",120,1.56,837,9.34,-,-,"8,655",0.90,150,1.92
001520,동양 ,"1,015",5,0.50,81,12.53,-,-,"4,010",0.25,40,3.94
001527,동양2우B ,"13,050",-50,-0.38,-,-,-,-,-,-,150,1.15
084670,동양고속 ,"13,400",-50,-0.37,-,-,-,-,"32,252",0.42,0,0.00
082640,동양생명 ,"5,250",70,1.35,"1,768",2.97,"1,223",4.29,"19,530",0.27,620,11.81
060380,동양에스텍 ,"2,210",-35,-1.56,936,2.36,-,-,"3,759",0.59,50,2.26
001525,동양우 ,"6,320",-10,-0.16,-,-,-,-,-,-,90,1.42
079960,동양이엔피 ,"12,800",150,1.19,"2,253",5.68,-,-,"33,409",0.38,300,2.34
008970,동양철관 ,"1,010",-10,-0.98,-,-,-,-,708,1.43,0,0.00
228340,동양파일 ,"3,650",150,4.29,119,30.67,-,-,"5,901",0.62,0,0.00
092780,동양피스톤 ,"4,280",5,0.12,581,7.37,-,-,"8,406",0.51,60,1.40
088910,동우팜투테이블 ,"2,735",15,0.55,-,-,-,-,"6,884",0.40,0,0.00
094170,동운아나텍 ,"10,200",50,0.49,-,-,-,-,"1,255",8.13,20,0.20
049770,동원F&B ,"131,000",0,0.00,"18,009",7.27,"23,095",5.67,"206,995",0.63,"3,500",2.67
013120,동원개발 ,"3,600",60,1.69,799,4.51,-,-,"10,534",0.34,150,4.17
018500,동원금속 ,889,-23,-2.52,485,1.83,-,-,"1,314",0.68,0,0.00
006040,동원산업 ,"228,000","-4,500",-1.94,"49,605",4.60,-,-,"421,286",0.54,"5,000",2.19
030720,동원수산 ,"9,410",50,0.53,"1,604",5.87,-,-,"12,199",0.77,0,0.00
014820,동원시스템즈 ,"46,850",850,1.85,"1,499",31.25,-,-,"22,662",2.07,600,1.28
